TEXT,STAGE,STRANGE,GROUP,EMOTION,TRIGGER
"Слушай, я не хочу опять начинать, но ты снова оставил сковородку в раковине. Я просто устала приходить после работы и первым же делом что-то за кем-то домывать. Мне кажется, это просто элементарное неуважение к моему времени.",Предконфликтная,Низкая,Гнев,Раздражение,Быт
"Да замолчи ты уже, ради бога, ты слышишь только себя! Каждое слово — как попытка меня побольнее уколоть, и я просто не понимаю, зачем мы всё ещё это делаем. Если тебе так плохо со мной, просто уйди, дверь вон там!",Пик,Высокая,Гнев,Злость,Личность
"Я видела твой телефон, когда пришло уведомление, и это имя мне совсем не нравится. Ты клялся, что это в прошлом, но почему ты продолжаешь с ней общаться по ночам? Мне так страшно, что я снова ошибаюсь в тебе, и эта неопределенность меня просто убивает.",Инцидент,Средняя,Страх,Напряжение/Нервозность,Ревность
"Прости, что я так сорвалась вчера, я действительно была не в себе из-за проблем в офисе. Ты не заслужил тех слов, что я наговорила, и мне очень стыдно. Давай просто обнимемся, я так ценю твою поддержку и терпение.",Разрешение,Средняя,Социальные,Раскаяние,Внимание
"Опять твоя мама звонит в семь утра, чтобы рассказать, какие занавески нам нужно купить. Я уважаю твою семью, но это уже переходит все границы личного пространства. Пожалуйста, поговори с ней, иначе я просто перестану брать трубку и отвечать на её визиты.",Эскалация,Средняя,Гнев,Неодобрение,Родня
"Нам не обязательно сейчас это решать, давай просто поспим. Я чувствую, что мы оба на взводе и только наговорим лишнего. Завтра на свежую голову всё обсудим, хорошо? Сейчас я просто хочу тишины.",Предконфликтная,Низкая,Нейтральные,Нейтральность,Контроль
"Боже, я так рада, что мы наконец-то решили этот вопрос с ипотекой без криков. У меня прямо гора с плеч свалилась, честное слово. Я знала, что мы сможем договориться, если просто сядем и всё посчитаем.",Разрешение,Высокая,Позитив,Облегчение,Деньги
"Ты опять потратил все деньги на свои дурацкие игры, а нам через неделю платить за квартиру! Это просто верх эгоизма, я пашу как проклятая, а ты спускаешь всё на ерунду. Как мне вообще на тебя полагаться, если ты ведешь себя как подросток?",Эскалация,Высокая,Гнев,Злость,Деньги
"Я просто смотрю на тебя и не узнаю того человека, в которого влюбилась. Куда делась вся та нежность и забота, почему теперь только холод в глазах? Мне так не хватает твоего тепла, я чувствую себя абсолютно одинокой в этой квартире.",Инцидент,Средняя,Грусть,Горе/Грусть,Внимание
"Ты сегодня был таким классным с детьми, я видела, как они на тебя смотрят. Спасибо, что взял на себя этот вечер, мне это было очень нужно. Ты действительно потрясающий отец, и я горжусь, что мы вместе.",Разрешение,Средняя,Социальные,Признательность/Радость,Дети
"Я боюсь, что если я сейчас скажу правду, всё просто развалится. Ты так остро реагируешь на любую критику, что я предпочитаю просто молчать. Но это молчание копится внутри и скоро просто взорвется, я не знаю, сколько еще выдержу.",Предконфликтная,Средняя,Страх,Страх,Личность
"Какого черта ты вообще решаешь за меня, куда мне идти? Это моя жизнь, моя работа и мои друзья, я не нуждаюсь в твоем одобрении на каждый шаг! Твой контроль просто душит меня, дай мне хоть немного воздуха!",Пик,Высокая,Гнев,Злость,Контроль
"Мне так жаль, что я не заметил, как тебе было плохо в последнее время. Я был слишком занят своими проблемами и совсем забыл про твои чувства. Давай начнем сначала, я обещаю быть внимательнее к тебе и к тому, что тебя тревожит.",Разрешение,Средняя,Социальные,Эмпатия,Внимание
"Опять эта близость кажется какой-то обязанностью, а не желанием. Я чувствую, что ты просто выполняешь ритуал, а меня там нет. Это так больно и обидно, я не хочу просто механического процесса, мне нужна ты.",Инцидент,Средняя,Грусть,Обида,Секс
"Знаешь, я сегодня поняла, что наши ссоры из-за посуды — это такая мелочь по сравнению с тем, что мы есть друг у друга. Я просто хочу быть рядом, и всё остальное неважно. Давай просто не будем больше тратить время на эти глупости.",Разрешение,Средняя,Позитив,Осознание,Быт
"Почему ты постоянно защищаешь своих друзей, даже когда они явно неправы? Ты всегда на их стороне, а я чувствую себя каким-то приложением, которое можно игнорировать. Это заставляет меня сомневаться в том, насколько я для тебя важна.",Эскалация,Средняя,Грусть,Разочарование,Друзья
"Я просто не ожидал, что ты так спокойно отреагируешь на мою новость об увольнении. Ты даже не упрекнула меня ни разу, это так неожиданно и приятно. Твоя вера в меня дает мне силы двигаться дальше.",Разрешение,Средняя,Нейтральные,Удивление,Деньги
"Хватит меня спрашивать, где я и с кем, это уже похоже на допрос! Я не делаю ничего криминального, просто хочу провести время с подругами без твоего надзора. Если ты мне не доверяешь, то зачем мы вообще вместе?",Эскалация,Средняя,Гнев,Неодобрение,Контроль
"Я чувствую, что мы можем всё исправить, если действительно этого захотим. Давай просто попробуем сходить к психологу или хотя бы просто начнем разговаривать по вечерам. У нас есть шанс, и я очень хочу его использовать.",Разрешение,Низкая,Позитив,Оптимизм,Личность
"Ребенок плачет уже полчаса, а ты даже ухом не ведешь, сидишь в своих танках! Неужели тебе настолько наплевать на всё, что происходит в этом доме? Мне кажется, я одна тяну этот быт и воспитание, а ты просто гость.",Пик,Высокая,Гнев,Злость,Дети
